model,method,rank,calibration_context,document,overall_nll,delta_nll,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k
Qwen3-8B-Base,Joint C1,64,2048,4,2.3408980779272475,0.25916081080484243,2.0106783987368635,2.104844222673602,2.316540018081795,2.4828697247164593,0.08887788532261398,0.1447020453096346,0.2602682037183581,0.3228119187828251
Qwen3-8B-Base,Joint C1,64,2048,5,2.7138852403377323,0.2777430978488935,2.6027328761430724,2.275839181846829,2.7449224326654567,2.8765262655818127,0.12463341490230428,0.1756244756955634,0.28508314939943924,0.33150392948108776
Qwen3-8B-Base,Joint C1,64,2048,6,2.429535924690925,0.263400493518962,2.225890298584197,1.9469139522628736,2.5674159427166474,2.567031751216272,0.08618883630783891,0.1642398166357828,0.23474700044621954,0.3370612470026182
Qwen3-8B-Base,Joint C1,64,2048,7,2.7628092841143306,0.30786329012253244,2.3367408508560388,2.240279808663357,2.916028039627634,2.935400512520731,0.1099339834573656,0.15171102957066207,0.2822936566022003,0.40394334776125573
Qwen3-8B-Base,Joint C1,96,2048,0,2.488618617545718,0.07997675321120612,1.8912590673119785,2.634548694777439,2.558243348696472,2.4737433018042916,0.016330199255413236,0.030186417177238134,0.0735484233143544,0.10981714224750228
Qwen3-8B-Base,Joint C1,96,2048,1,2.742515372790116,0.075835295213464,2.7186331477978825,3.0281845341357876,2.7021579587582942,2.6585530580115955,0.024816938031041236,0.03405620257139619,0.04597890150199202,0.11280716797942603
Qwen3-8B-Base,Joint C1,96,2048,2,2.6459499742047066,0.0884730030520462,2.4054730814174934,2.6856917292595415,2.366578567394229,2.8007884616766026,0.023586465182526162,0.06788042980941533,0.07267760695843961,0.11220274320853107
Qwen3-8B-Base,Joint C1,96,2048,3,2.3938847900624953,0.08336188931403177,0.7831591015547601,2.403953231822705,2.2466314724405767,2.665051916553324,0.011919187215331806,0.044215512234221155,0.06429116739815743,0.11650638931011281
Qwen3-8B-Base,Joint C1,96,2048,4,2.1572219607265026,0.0754846936040976,1.9415925535078606,1.9880687726498756,2.1255160482302653,2.263457748162047,0.01979204009361113,0.027926595285908018,0.06924423386682843,0.10339994222841264
Qwen3-8B-Base,Joint C1,96,2048,5,2.5163694982941247,0.08022735580528595,2.5101146997097126,2.1379105001608534,2.5313738006438267,2.65157122580165,0.032015238468944496,0.03769579400958767,0.07153451737780925,0.10654888970092502
Qwen3-8B-Base,Joint C1,96,2048,6,2.2353215125172636,0.06918608134530047,2.1591433206304065,1.8200908454899862,2.392700568055459,2.321864596482291,0.019441858354048325,0.03741670986289547,0.060031625785031295,0.0918940922686371
Qwen3-8B-Base,Joint C1,96,2048,7,2.533139833086427,0.07819383909462907,2.24725051295133,2.120286437386263,2.688908017431852,2.6458075669933323,0.020443645552656875,0.031717658293568096,0.055173634406418426,0.11435040223385684
Qwen3-8B-Base,Joint C1,64,8192,0,2.619323605183988,0.2106817408494761,1.9543952848815038,2.724781511310059,2.678403690638486,2.6333427416962913,0.0794664168249386,0.12041923370985819,0.19370876525636804,0.26941658213950204
Qwen3-8B-Base,Joint C1,64,8192,1,2.8887520784180456,0.22207200084139345,2.8222576851766146,3.163019690452167,2.8124274585756477,2.8323748183577075,0.12844147540977335,0.1688913588877754,0.15624840131934548,0.2866289283255381
Qwen3-8B-Base,Joint C1,64,8192,2,2.7889711784769684,0.23149420732430803,2.4947960656312955,2.8468458017221785,2.486618738844521,2.955211814925953,0.1129094493963283,0.22903450227205235,0.19271777840873172,0.2666260964578817
